title,price,location,date,model,storage,price_num,normalized_link
iPhone 16 128GB粉色,"NT$2,500",New Taipei City,2025-06-25,iPhone 16,128,2500.0,https://www.facebook.com/marketplace/item/741895788179760/
iPhone 16 256g,"NT$2,000",New Taipei City,2025-06-26,iPhone 16,256,2000.0,https://www.facebook.com/marketplace/item/1397622171548947/
iPhone 16 256GB,"NT$2,800","Taipei, Taiwan",2025-06-25,iPhone 16,256,2800.0,https://www.facebook.com/marketplace/item/654164520586375/
iPhone 16 256GB 粉色,"NT$2,000","Taipei, Taiwan",2025-06-25,iPhone 16,256,2000.0,https://www.facebook.com/marketplace/item/1362464614872568/
iPhone 16 256g,"NT$2,000","Taichung, Taiwan",2025-06-25,iPhone 16,256,2000.0,https://www.facebook.com/marketplace/item/2082746432136983/
iPhone 16 256GB 藍色,"NT$2,800","Taoyuan District, Taoyuan",2025-06-25,iPhone 16,256,2800.0,https://www.facebook.com/marketplace/item/1044365460601900/
iPhone 16 256g,"NT$2,000",New Taipei City,2025-07-03,iPhone 16,256,2000.0,https://www.facebook.com/marketplace/item/1477602053400247/
來唷 剛續約的全新未拆封 iphone16por mxs256g 太原鋅色 現金面交 不分期 （自行出價） 不要開那些 （芭樂價錢）草屯面交,"NT$99,999",Caotun Township,2025-07-03,iPhone 16,256,99999.0,https://www.facebook.com/marketplace/item/1380448613230970/
Iphone 16 por max 256g白色,"NT$36,900",New Taipei City,2025-06-25,iPhone 16,256,36900.0,https://www.facebook.com/marketplace/item/694632186720011/
收 Iphone 16 系列 512g 16pro 37000收 16 30000收,Free,"Taipei, Taiwan",2025-06-26,iPhone 16,512,0.0,https://www.facebook.com/marketplace/item/575368228701232/
iPhone 16 手機無卡 0元帶走,Free,New Taipei City,2025-06-25,iPhone 16,Unknown,0.0,https://www.facebook.com/marketplace/item/1180109140522759/
"IPHONE16 兩眼三眼,各型號現金收購","NT$99,999","Kaohsiung, Taiwan",2025-06-27,iPhone 16,Unknown,99999.0,https://www.facebook.com/marketplace/item/1027989872867183/
"IPHONE16 兩眼三眼,各型號現金收購","NT$99,999","Kaohsiung, Taiwan",2025-07-03,iPhone 16,Unknown,99999.0,https://www.facebook.com/marketplace/item/1070382901718197/
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,"NT$12,000","Taipei, Taiwan",2025-06-26,iPhone 16 Plus,128,12000.0,https://www.facebook.com/marketplace/item/1031740418417265/
3/12更新 iPhone 16 plus 128 白色全新未拆,"NT$28,900",New Taipei City,2025-06-26,iPhone 16 Plus,128,28900.0,https://www.facebook.com/marketplace/item/966440395201735/
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,"NT$10,000","Taipei, Taiwan",2025-06-25,iPhone 16 Plus,128,10000.0,https://www.facebook.com/marketplace/item/697289092904322/
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,"NT$12,000","Taipei, Taiwan",2025-06-27,iPhone 16 Plus,128,12000.0,https://www.facebook.com/marketplace/item/683441947946157/
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,"NT$10,000","Taichung, Taiwan",2025-07-03,iPhone 16 Plus,128,10000.0,https://www.facebook.com/marketplace/item/4012565162294268/
iPhone 16 Plus 256G 黑色/白色 全新未拆 台灣公司貨,"NT$32,990","Taipei, Taiwan",2025-06-26,iPhone 16 Plus,256,32990.0,https://www.facebook.com/marketplace/item/584104221297446/
iPhone 16 Plus 256G 保2026/1/5,"NT$26,800",New Taipei City,2025-06-26,iPhone 16 Plus,256,26800.0,https://www.facebook.com/marketplace/item/1968929736974841/
全新未拆封 iphone 16 plus 256GB,"$32,200",New Taipei City,2025-06-25,iPhone 16 Plus,256,32200.0,https://www.facebook.com/marketplace/item/1220924779530716/
IPHONE 16 PLUS 256G 白 全新未使用 原廠保固一年 現金價30990 高雄面交,"NT$30,990","Kaohsiung, Taiwan",2025-06-25,iPhone 16 Plus,256,30990.0,https://www.facebook.com/marketplace/item/675074201809273/
Apple iPhone 16 Plus 256GB 湛海藍 (外觀漂亮無刮傷、使用次數少、電池健康度100%),"NT$27,500",Chiayi,2025-06-27,iPhone 16 Plus,256,27500.0,https://www.facebook.com/marketplace/item/714473131325914/
iPhone 16Plus 256G 黑色 電池100%（有盒）🍎✨,"NT$27,000","Taoyuan District, Taoyuan",2025-06-26,iPhone 16 Plus,256,27000.0,https://www.facebook.com/marketplace/item/686407277519677/
iPhone 16 Plus case+screen protector,NT$100,"Taipei, Taiwan",2025-06-27,iPhone 16 Plus,Unknown,100.0,https://www.facebook.com/marketplace/item/1571951346857219/
