title,price,location,date,model,storage,price_num,normalized_link
Iphone16plus128綠色,"NT$25,500",New Taipei City,2025-06-26,iPhone 16 Plus,128,25500.0,https://www.facebook.com/marketplace/item/1039550948294394/
Ipad10 10.9吋／wifi/64g 二手 Iphone15 promax 256g 二手（已售出） Airport pro2 二手（已售出）,"NT$11,000",New Taipei City,2025-06-26,iPhone 15 Pro Max,64,11000.0,https://www.facebook.com/marketplace/item/1790199581876818/
iPhone16Pro max 256G 金🔋100%保25/11/5,"NT$35,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,35500.0,https://www.facebook.com/marketplace/item/2706350989559929/
iPhone 16 pro max 256Gb,"NT$36,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/715272411469105/
iPhone 16 Pro 256GB 黑 原廠保固,"NT$32,900",New Taipei City,2025-06-26,iPhone 16 Pro,256,32900.0,https://www.facebook.com/marketplace/item/707208085412450/
iPhone 16 Pro 512G 黑,"NT$43,000",New Taipei City,2025-06-26,iPhone 16 Pro,512,43000.0,https://www.facebook.com/marketplace/item/1744468082834655/
IPHONE 16 pro 256G 沙漠金 全新未拆封 未開通 限店取,"NT$36,500","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,36500.0,https://www.facebook.com/marketplace/item/615317084308963/
iPhone 16 pro 128g 黑色,"NT$29,300",New Taipei City,2025-06-26,iPhone 16 Pro,128,29300.0,https://www.facebook.com/marketplace/item/1235668178262449/
Iphone 16 pro max 256g 鈦原色,"$37,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,37500.0,https://www.facebook.com/marketplace/item/1612943719395848/
iPhone 12 Pro Max 128G,"$11,500",New Taipei City,2025-06-26,iPhone 12 Pro Max,128,11500.0,https://www.facebook.com/marketplace/item/1408477660421773/
iPhone 16 Pro 256G,"NT$35,490","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,35490.0,https://www.facebook.com/marketplace/item/1924885158274758/
收 Iphone 16 系列 512g 16pro 37000收 16 30000收,Free,"Taipei, Taiwan",2025-06-26,iPhone 16,512,0.0,https://www.facebook.com/marketplace/item/575368228701232/
iPhone 15 Pro 256GB 89%🔋,"NT$27,000",New Taipei City,2025-06-26,iPhone 15 Pro,256,27000.0,https://www.facebook.com/marketplace/item/767796049037388/
iPhone 16e 256 白✨功能正常 雙北桃面交,"NT$19,500",New Taipei City,2025-06-26,iPhone 16E,256,19500.0,https://www.facebook.com/marketplace/item/2987487504891512/
iPhone 13,"$8,800",New Taipei City,2025-06-26,iPhone 13,Unknown,8800.0,https://www.facebook.com/marketplace/item/560432297136902/
iPhone 13 Pro 128G,"$12,000",New Taipei City,2025-06-26,iPhone 13 Pro,128,12000.0,https://www.facebook.com/marketplace/item/1916760265768397/
Iphone 16plus 128 藍 綠,"NT$25,800",New Taipei City,2025-06-26,iPhone 16 Plus,128,25800.0,https://www.facebook.com/marketplace/item/1269649434660097/
比原廠便宜$3000元 【出售】 iPhone 16e 128灰 【容量】128G 【保固】原廠保固一年 【電池健康度】 100% 【外觀】 全新未拆 【貨源】 公司貨 【售價】$18900 【電話,"$18,900",New Taipei City,2025-06-26,iPhone 16E,128,18900.0,https://www.facebook.com/marketplace/item/1056774839115279/
iphone 12 pro max 512g🔋89% (ios-16.3),"NT$15,000","Taipei, Taiwan",2025-06-26,iPhone 12 Pro Max,512,15000.0,https://www.facebook.com/marketplace/item/732367802660018/
