excluded_reason,title,price,location,date,model,storage,price_num,normalized_link
Duplicate link,Apple IPhone 16 128G黑色,"$21,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 16,128,21500.0,https://www.facebook.com/marketplace/item/2067913500284841/
Duplicate link,iPhone 16 PRO MAX 256 GB 原鈦色｜近全新｜電池100%,"NT$35,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,35000.0,https://www.facebook.com/marketplace/item/4309966715954392/
Duplicate link,iPhone 16 128 G￼高雄面交,"NT$21,000","Kaohsiung, Taiwan",2025-06-27,iPhone 16,128,21000.0,https://www.facebook.com/marketplace/item/1063990671821411/
Duplicate link,iPhone 16e 白 128G,"NT$18,800",New Taipei City,2025-06-27,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/1267186531539634/
Duplicate link,iPhone 12 (128G紫),"$7,000","Taichung, Taiwan",2025-06-27,iPhone 12,128,7000.0,https://www.facebook.com/marketplace/item/608878294975502/
Duplicate link,【艾爾巴數位】全新 IPhone 16e 128G A3409 6.1吋 黑#全新機#新竹店QYWCC,"NT$18,500","Hsinchu, Taiwan",2025-06-27,iPhone 16E,128,18500.0,https://www.facebook.com/marketplace/item/705036215481085/
Duplicate link,📱【🔥iPhone 14 Pro Max｜限量 5 台出清🔥】📱,"NT$15,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 14 Pro Max,Unknown,15500.0,https://www.facebook.com/marketplace/item/1948155962662072/
Duplicate link,iPhone 16 Plus 粉色,"$27,500",New Taipei City,2025-06-27,iPhone 16 Plus,Unknown,27500.0,https://www.facebook.com/marketplace/item/744736704567351/
Duplicate link,iPhone 16 pro max 512 G,"NT$45,000","Taipei, Taiwan",2025-06-27,iPhone 16 Pro Max,512,45000.0,https://www.facebook.com/marketplace/item/1996533734420916/
Duplicate link,IphoneXS MAX 64G 金 🔋87%（雙北面交）,"NT$4,900",New Taipei City,2025-06-27,iPhone XS,64,4900.0,https://www.facebook.com/marketplace/item/1337511450682492/
Duplicate link,"The price is now NT$3,000 less for a listing you saved: M1 pro 16吋灰色，全機包膜15h",N/A,Unknown,2025-06-26,Unknown,Unknown,,https://www.facebook.com/marketplace/item/23913620358326240
Duplicate link,Apple iPhone 15 128G,"NT$17,000",New Taipei City,2025-06-26,iPhone 15,128,17000.0,https://www.facebook.com/marketplace/item/1010906814163374/
Duplicate link,iphone15 Plus 256g,"NT$21,500","Taipei, Taiwan",2025-06-26,iPhone 15 Plus,256,21500.0,https://www.facebook.com/marketplace/item/1959679671511712/
Duplicate link,二手 iPhone 15 Pro 128GB藍色,"$20,900","Taipei, Taiwan",2025-06-26,iPhone 15 Pro,128,20900.0,https://www.facebook.com/marketplace/item/1477141063648387/
Duplicate link,iphone 15 pro max 256g,"NT$26,500",New Taipei City,2025-06-26,iPhone 15 Pro Max,256,26500.0,https://www.facebook.com/marketplace/item/1095947102389323/
Duplicate link,Ipad10 10.9吋／wifi/64g 二手 Iphone15 promax 256g 二手（已售出） Airport pro2 二手（已售出）,"NT$11,000",New Taipei City,2025-06-26,iPhone 15 Pro Max,64,11000.0,https://www.facebook.com/marketplace/item/1790199581876818/
Duplicate link,"Iphone15 128G,16pro max256G,12pro max128G,12 128G,11pro max 256G,11pro 256G,11 64G,xs 256G","$16,800","Taipei, Taiwan",2025-06-26,iPhone 15,128,16800.0,https://www.facebook.com/marketplace/item/622109397334108/
Duplicate link,iPhone 15 Pro 256GB 89%🔋,"NT$27,000",New Taipei City,2025-06-26,iPhone 15 Pro,256,27000.0,https://www.facebook.com/marketplace/item/767796049037388/
Duplicate link,Iphone 15 128g,"NT$16,000","Taipei, Taiwan",2025-06-26,iPhone 15,128,16000.0,https://www.facebook.com/marketplace/item/1215464859983904/
Duplicate link,iPhone 15 256GB 粉 $17500無保固,"NT$17,500",New Taipei City,2025-06-26,iPhone 15,256,17500.0,https://www.facebook.com/marketplace/item/1547640146211914/
Duplicate link,iPhone 15 128GB 黑 $16500 無保固,"NT$16,500",New Taipei City,2025-06-26,iPhone 15,128,16500.0,https://www.facebook.com/marketplace/item/568077109508104/
Duplicate link,iPhone 15 128 🔋84,"NT$17,000",New Taipei City,2025-06-26,iPhone 15,128,17000.0,https://www.facebook.com/marketplace/item/728069789709050/
